Energy_MeV,F8_Response,Relative_Error
0.0000,6.20752000E-04,0.0018
0.0100,5.16502000E-04,0.002
0.0200,1.12146000E-04,0.0042
0.0300,1.40600000E-05,0.0119
0.0400,1.10440000E-05,0.0135
0.0500,1.16500000E-05,0.0131
0.0600,1.31500000E-05,0.0123
0.0700,1.56160000E-05,0.0113
0.0800,1.90740000E-05,0.0102
0.0900,2.29140000E-05,0.0093
0.1000,2.62440000E-05,0.0087
0.1100,2.87780000E-05,0.0083
0.1200,3.05160000E-05,0.0081
0.1300,3.08760000E-05,0.008
0.1400,3.13060000E-05,0.008
0.1500,3.03300000E-05,0.0081
0.1600,2.99460000E-05,0.0082
0.1700,2.91620000E-05,0.0083
0.1800,2.80780000E-05,0.0084
0.1900,2.67080000E-05,0.0087
0.2000,2.47100000E-05,0.009
0.2100,2.35580000E-05,0.0092
0.2200,2.24340000E-05,0.0094
0.2300,2.16460000E-05,0.0096
0.2400,2.11440000E-05,0.0097
0.2500,2.03600000E-05,0.0099
0.2600,1.95680000E-05,0.0101
0.2700,1.84600000E-05,0.0104
0.2800,1.82720000E-05,0.0105
0.2900,1.77260000E-05,0.0106
0.3000,1.73300000E-05,0.0107
0.3100,1.61340000E-05,0.0111
0.3200,1.49780000E-05,0.0116
0.3300,1.39660000E-05,0.012
0.3400,1.33180000E-05,0.0123
0.3500,1.22660000E-05,0.0128
0.3600,1.17300000E-05,0.0131
0.3700,1.11480000E-05,0.0134
0.3800,1.05300000E-05,0.0138
0.3900,1.01420000E-05,0.014
0.4000,9.82000000E-06,0.0143
0.4100,9.33000000E-06,0.0146
0.4200,9.07000000E-06,0.0148
0.4300,8.93800000E-06,0.015
0.4400,8.46200000E-06,0.0154
0.4500,8.17200000E-06,0.0156
0.4600,7.92800000E-06,0.0159
0.4700,8.04200000E-06,0.0158
0.4800,8.09800000E-06,0.0157
0.4900,9.91600000E-06,0.0142
0.5000,1.30540000E-05,0.0124
0.5100,1.60280000E-05,0.0112
0.5200,1.57160000E-05,0.0113
0.5300,1.22940000E-05,0.0128
0.5400,8.24400000E-06,0.0156
0.5500,6.39200000E-06,0.0177
0.5600,5.29600000E-06,0.0194
0.5700,5.28800000E-06,0.0194
0.5800,4.97000000E-06,0.0201
0.5900,4.96800000E-06,0.0201
0.6000,4.82000000E-06,0.0204
0.6100,4.62200000E-06,0.0208
0.6200,4.52200000E-06,0.021
0.6300,4.65800000E-06,0.0207
0.6400,4.38400000E-06,0.0214
0.6500,4.36400000E-06,0.0214
0.6600,4.30200000E-06,0.0216
0.6700,4.10200000E-06,0.0221
0.6800,4.16600000E-06,0.0219
0.6900,3.96200000E-06,0.0225
0.7000,3.85800000E-06,0.0228
0.7100,3.78600000E-06,0.023
0.7200,3.89600000E-06,0.0227
0.7300,4.12400000E-06,0.022
0.7400,4.44600000E-06,0.0212
0.7500,5.03400000E-06,0.0199
0.7600,5.61800000E-06,0.0189
0.7700,5.62800000E-06,0.0189
0.7800,5.34400000E-06,0.0193
0.7900,4.63200000E-06,0.0208
0.8000,3.86000000E-06,0.0228
0.8100,3.51600000E-06,0.0239
0.8200,3.48600000E-06,0.024
0.8300,3.55200000E-06,0.0237
