T_cm,Left_5.95_6.02,ROI_6.03_6.23,Right_6.24_6.31
1,3.49400000E-06,1.27540000E-05,2.75800000E-06
2,4.33200000E-06,1.65360000E-05,3.25600000E-06
3,4.50800000E-06,1.81600000E-05,3.46200000E-06
4,4.39400000E-06,1.88200000E-05,3.52800000E-06
5,4.27000000E-06,1.83600000E-05,3.40400000E-06
6,4.31400000E-06,1.77660000E-05,3.25400000E-06
7,4.09400000E-06,1.69720000E-05,3.14600000E-06
8,3.89400000E-06,1.59220000E-05,2.90800000E-06
9,3.61200000E-06,1.48920000E-05,2.73400000E-06
10,3.29200000E-06,1.35780000E-05,2.39800000E-06
