Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.00086691,0.0034
0.01,0.00072127,0.0037
0.02,0.00015397,0.0081
0.03,1.576e-05,0.0252
0.04,1.167e-05,0.0293
0.05,1.268e-05,0.0281
0.06,1.246e-05,0.0283
0.07,1.425e-05,0.0265
0.08,1.574e-05,0.0252
0.09,1.832e-05,0.0234
0.1,1.955e-05,0.0226
0.11,2.185e-05,0.0214
0.12,2.449e-05,0.0202
0.13,2.437e-05,0.0203
0.14,2.387e-05,0.0205
0.15,2.468e-05,0.0201
0.16,2.496e-05,0.02
0.17,2.508e-05,0.02
0.18,2.446e-05,0.0202
0.19,2.27e-05,0.021
0.2,2.045e-05,0.0221
0.21,1.958e-05,0.0226
0.22,1.927e-05,0.0228
0.23,1.854e-05,0.0232
0.24,1.885e-05,0.023
0.25,1.909e-05,0.0229
0.26,1.84e-05,0.0233
0.27,1.728e-05,0.0241
0.28,1.765e-05,0.0238
0.29,1.852e-05,0.0232
0.3,1.782e-05,0.0237
0.31,1.662e-05,0.0245
0.32,1.472e-05,0.0261
0.33,1.247e-05,0.0283
0.34,1.236e-05,0.0284
0.35,1.194e-05,0.0289
0.36,1.088e-05,0.0303
0.37,1.022e-05,0.0313
0.38,9.65e-06,0.0322
0.39,1.007e-05,0.0315
0.4,9.28e-06,0.0328
0.41,8.49e-06,0.0343
0.42,8.28e-06,0.0348
0.43,8.78e-06,0.0337
0.44,8.6e-06,0.0341
0.45,8.22e-06,0.0349
0.46,7.9e-06,0.0356
0.47,7.65e-06,0.0362
0.48,8.11e-06,0.0351
0.49,9.67e-06,0.0322
0.5,1.403e-05,0.0267
0.51,1.62e-05,0.0248
0.52,1.718e-05,0.0241
0.53,1.383e-05,0.0269
0.54,9.29e-06,0.0328
0.55,7.28e-06,0.0371
0.56,6.11e-06,0.0405
0.57,5.54e-06,0.0425
0.58,5.67e-06,0.042
0.59,5.43e-06,0.0429
0.6,5.37e-06,0.0432
0.61,5.03e-06,0.0446
0.62,5.1e-06,0.0443
0.63,5.06e-06,0.0445
0.64,5.05e-06,0.0445
0.65,5.06e-06,0.0445
0.66,4.74e-06,0.0459
0.67,4.73e-06,0.046
0.68,4.51e-06,0.0471
0.69,4.31e-06,0.0482
0.7,4.5e-06,0.0471
0.71,4.46e-06,0.0474
0.72,4.33e-06,0.0481
0.73,5e-06,0.0447
0.74,5.23e-06,0.0437
0.75,6.37e-06,0.0396
0.76,7.46e-06,0.0366
0.77,7.62e-06,0.0362
0.78,7.22e-06,0.0372
0.79,6.15e-06,0.0403
0.8,5.05e-06,0.0445
0.81,4.1e-06,0.0494
0.82,4.31e-06,0.0482
0.83,4.59e-06,0.0467
0.84,4.83e-06,0.0455
0.85,4.65e-06,0.0464
0.86,4.92e-06,0.0451
0.87,4.22e-06,0.0487
0.88,4.56e-06,0.0468
0.89,4.23e-06,0.0486
0.9,3.94e-06,0.0504
0.91,3.95e-06,0.0503
0.92,3.51e-06,0.0534
0.93,3.31e-06,0.055
0.94,3.48e-06,0.0536
