Energy_MeV,F8 脉冲高度响应,Relative_Error
0,0.000863573,0.002
0.01,0.000719523,0.0022
0.02,0.000152423,0.0047
0.03,1.56033e-05,0.0146
0.04,1.20267e-05,0.0166
0.05,1.243e-05,0.0164
0.06,1.315e-05,0.0159
0.07,1.427e-05,0.0153
0.08,1.59333e-05,0.0145
0.09,1.86067e-05,0.0134
0.1,2.05133e-05,0.0127
0.11,2.23633e-05,0.0122
0.12,2.40133e-05,0.0118
0.13,2.38867e-05,0.0118
0.14,2.44933e-05,0.0117
0.15,2.38867e-05,0.0118
0.16,2.43533e-05,0.0117
0.17,2.47733e-05,0.0116
0.18,2.433e-05,0.0117
0.19,2.298e-05,0.012
0.2,2.123e-05,0.0125
0.21,1.97367e-05,0.013
0.22,1.95033e-05,0.0131
0.23,1.94833e-05,0.0131
0.24,1.928e-05,0.0131
0.25,1.81467e-05,0.0136
0.26,1.772e-05,0.0137
0.27,1.812e-05,0.0136
0.28,1.76367e-05,0.0137
0.29,1.78167e-05,0.0137
0.3,1.743e-05,0.0138
0.31,1.653e-05,0.0142
0.32,1.483e-05,0.015
0.33,1.30433e-05,0.016
0.34,1.21267e-05,0.0166
0.35,1.152e-05,0.017
0.36,1.10367e-05,0.0174
0.37,1.03333e-05,0.018
0.38,9.71667e-06,0.0185
0.39,9.63333e-06,0.0186
0.4,9.3e-06,0.0189
0.41,8.74333e-06,0.0195
0.42,8.48333e-06,0.0198
0.43,8.57e-06,0.0197
0.44,8.02333e-06,0.0204
0.45,7.92e-06,0.0205
0.46,7.54667e-06,0.021
0.47,7.89333e-06,0.0205
0.48,8.1e-06,0.0203
0.49,9.84667e-06,0.0184
0.5,1.35e-05,0.0157
0.51,1.716e-05,0.0139
0.52,1.72667e-05,0.0139
0.53,1.36233e-05,0.0156
0.54,9.57333e-06,0.0187
0.55,7.02667e-06,0.0218
0.56,6.04e-06,0.0235
0.57,5.57e-06,0.0245
0.58,5.7e-06,0.0242
0.59,5.37667e-06,0.0249
0.6,5.44333e-06,0.0247
0.61,5.19667e-06,0.0253
0.62,5.06333e-06,0.0257
0.63,5.14667e-06,0.0254
0.64,4.95333e-06,0.0259
0.65,4.76333e-06,0.0265
0.66,4.63667e-06,0.0268
0.67,4.73333e-06,0.0265
0.68,4.82333e-06,0.0263
0.69,4.29333e-06,0.0279
0.7,4.37e-06,0.0276
0.71,4.43667e-06,0.0274
0.72,4.40667e-06,0.0275
0.73,4.89333e-06,0.0261
0.74,5.30667e-06,0.0251
0.75,6.75333e-06,0.0222
0.76,7.39e-06,0.0212
0.77,7.86e-06,0.0206
0.78,7.3e-06,0.0214
0.79,6.24e-06,0.0231
0.8,5.05e-06,0.0257
0.81,4.28667e-06,0.0279
0.82,4.15e-06,0.0283
0.83,4.16333e-06,0.0283
0.84,4.62333e-06,0.0269
0.85,4.91e-06,0.0261
0.86,4.99667e-06,0.0258
0.87,4.52667e-06,0.0271
0.88,4.17667e-06,0.0283
0.89,4.23667e-06,0.028
0.9,3.90667e-06,0.0292
0.91,3.84e-06,0.0295
0.92,3.49e-06,0.0309
0.93,3.38667e-06,0.0314
0.94,3.32e-06,0.0317
0.95,3.39333e-06,0.0313
0.96,3.12e-06,0.0327
0.97,3.44e-06,0.0311
0.98,3.64667e-06,0.0302
0.99,4.13333e-06,0.0284
1,4.64667e-06,0.0268
1.01,5.22667e-06,0.0253
1.02,5.46667e-06,0.0247
1.03,4.92e-06,0.026
1.04,4.11667e-06,0.0285
1.05,3.04667e-06,0.0331
1.06,2.89333e-06,0.0339
1.07,2.87667e-06,0.034
1.08,2.99667e-06,0.0334
1.09,2.95667e-06,0.0336
1.1,2.98667e-06,0.0334
1.11,2.97333e-06,0.0335
1.12,3.12333e-06,0.0327
1.13,3.16e-06,0.0325
1.14,3.31333e-06,0.0317
1.15,3.62667e-06,0.0303
1.16,3.86333e-06,0.0294
1.17,3.64667e-06,0.0302
1.18,3.46e-06,0.031
1.19,3.43e-06,0.0312
1.2,2.97333e-06,0.0335
1.21,2.90333e-06,0.0339
1.22,2.7e-06,0.0351
1.23,2.72e-06,0.035
1.24,2.76667e-06,0.0347
1.25,2.89e-06,0.034
1.26,2.77667e-06,0.0346
1.27,2.72667e-06,0.035
1.28,2.90667e-06,0.0339
1.29,2.92333e-06,0.0338
1.3,3e-06,0.0333
1.31,2.98333e-06,0.0334
1.32,2.84e-06,0.0343
1.33,2.96667e-06,0.0335
1.34,2.99333e-06,0.0334
1.35,3.09667e-06,0.0328
1.36,3.14e-06,0.0326
1.37,3.34e-06,0.0316
1.38,3.33333e-06,0.0316
1.39,3.24e-06,0.0321
1.4,3.05333e-06,0.033
1.41,3.01e-06,0.0333
1.42,2.92e-06,0.0338
1.43,2.94333e-06,0.0337
1.44,2.70667e-06,0.0351
1.45,2.73667e-06,0.0349
1.46,2.68667e-06,0.0352
1.47,2.53333e-06,0.0363
1.48,2.71e-06,0.0351
1.49,2.64e-06,0.0355
1.5,2.85333e-06,0.0342
1.51,2.62e-06,0.0357
1.52,2.61667e-06,0.0357
1.53,2.66667e-06,0.0354
1.54,2.73333e-06,0.0349
1.55,2.82e-06,0.0344
1.56,2.65e-06,0.0355
1.57,2.83667e-06,0.0343
1.58,2.90667e-06,0.0339
1.59,3.00333e-06,0.0333
1.6,3.28e-06,0.0319
1.61,3.69333e-06,0.03
1.62,3.67e-06,0.0301
1.63,3.45667e-06,0.0311
1.64,3.25e-06,0.032
1.65,2.92e-06,0.0338
1.66,2.78667e-06,0.0346
1.67,2.68667e-06,0.0352
1.68,2.82e-06,0.0344
1.69,2.98e-06,0.0334
1.7,2.91667e-06,0.0338
1.71,3.16e-06,0.0325
1.72,3.2e-06,0.0323
1.73,3.05667e-06,0.033
1.74,2.92333e-06,0.0338
1.75,2.59667e-06,0.0358
1.76,2.77333e-06,0.0347
1.77,2.81667e-06,0.0344
1.78,2.91667e-06,0.0338
1.79,3.12e-06,0.0327
1.8,3.43333e-06,0.0312
1.81,3.48667e-06,0.0309
1.82,3.39333e-06,0.0313
1.83,3.06667e-06,0.033
1.84,2.83667e-06,0.0343
1.85,2.51333e-06,0.0364
1.86,2.35333e-06,0.0376
1.87,2.46e-06,0.0368
1.88,2.39667e-06,0.0373
1.89,2.5e-06,0.0365
1.9,2.55e-06,0.0362
1.91,2.65333e-06,0.0354
1.92,2.68e-06,0.0353
1.93,2.54667e-06,0.0362
1.94,2.49333e-06,0.0366
1.95,2.58667e-06,0.0359
1.96,2.6e-06,0.0358
1.97,2.36667e-06,0.0375
1.98,2.59667e-06,0.0358
1.99,2.52333e-06,0.0363
2,2.49667e-06,0.0365
2.01,2.31333e-06,0.038
2.02,2.4e-06,0.0373
2.03,2.47e-06,0.0367
2.04,2.28667e-06,0.0382
2.05,2.26667e-06,0.0383
2.06,2.14e-06,0.0395
2.07,2.19333e-06,0.039
2.08,1.88333e-06,0.0421
2.09,2.04667e-06,0.0404
2.1,2.18667e-06,0.039
2.11,2.10667e-06,0.0398
2.12,2.11e-06,0.0397
2.13,2.09667e-06,0.0399
2.14,2.08333e-06,0.04
