Energy_MeV,F8_Response_per_source_neutron,Relative_Error
0,0.000863214,0.0015
0.01,0.000719246,0.0017
0.02,0.00015211,0.0036
0.03,1.572e-05,0.0113
0.04,1.2072e-05,0.0129
0.05,1.242e-05,0.0127
0.06,1.3258e-05,0.0123
0.07,1.4058e-05,0.0119
0.08,1.6092e-05,0.0111
0.09,1.8494e-05,0.0104
0.1,2.0682e-05,0.0098
0.11,2.2168e-05,0.0095
0.12,2.4e-05,0.0091
0.13,2.4002e-05,0.0091
0.14,2.443e-05,0.009
0.15,2.3918e-05,0.0091
0.16,2.4548e-05,0.009
0.17,2.456e-05,0.009
0.18,2.4268e-05,0.0091
0.19,2.2472e-05,0.0094
0.2,2.093e-05,0.0098
0.21,1.9962e-05,0.01
0.22,1.9568e-05,0.0101
0.23,1.9452e-05,0.0101
0.24,1.9086e-05,0.0102
0.25,1.83e-05,0.0105
0.26,1.7902e-05,0.0106
0.27,1.811e-05,0.0105
0.28,1.7784e-05,0.0106
0.29,1.7974e-05,0.0105
0.3,1.7578e-05,0.0107
0.31,1.6578e-05,0.011
0.32,1.4786e-05,0.0116
0.33,1.2928e-05,0.0124
0.34,1.2258e-05,0.0128
0.35,1.1538e-05,0.0132
0.36,1.0794e-05,0.0136
0.37,1.0272e-05,0.014
0.38,9.79e-06,0.0143
0.39,9.556e-06,0.0145
0.4,9.456e-06,0.0145
0.41,8.966e-06,0.0149
0.42,8.524e-06,0.0153
0.43,8.58e-06,0.0153
0.44,8.014e-06,0.0158
0.45,7.86e-06,0.016
0.46,7.636e-06,0.0162
0.47,7.762e-06,0.0161
0.48,8.126e-06,0.0157
0.49,9.912e-06,0.0142
0.5,1.3518e-05,0.0122
0.51,1.7168e-05,0.0108
0.52,1.7332e-05,0.0107
0.53,1.3624e-05,0.0121
0.54,9.452e-06,0.0145
0.55,7.094e-06,0.0168
0.56,6.04e-06,0.0182
0.57,5.574e-06,0.0189
0.58,5.656e-06,0.0188
