Energy_MeV,F8 脉冲高度响应,Relative_Error
0,0.00086495,0.0013
0.01,0.000720639,0.0014
0.02,0.000151817,0.0031
0.03,1.58429e-05,0.0095
0.04,1.17243e-05,0.011
0.05,1.27657e-05,0.0106
0.06,1.28529e-05,0.0105
0.07,1.42957e-05,0.01
0.08,1.59829e-05,0.0095
0.09,1.858e-05,0.0088
0.1,2.05871e-05,0.0083
0.11,2.21329e-05,0.008
0.12,2.37514e-05,0.0078
0.13,2.41014e-05,0.0077
0.14,2.40686e-05,0.0077
0.15,2.37457e-05,0.0078
0.16,2.43571e-05,0.0077
0.17,2.48729e-05,0.0076
0.18,2.45829e-05,0.0076
0.19,2.22e-05,0.008
0.2,2.06129e-05,0.0083
0.21,1.99957e-05,0.0085
0.22,1.93357e-05,0.0086
0.23,1.94957e-05,0.0086
0.24,1.87971e-05,0.0087
0.25,1.87129e-05,0.0087
0.26,1.81943e-05,0.0089
0.27,1.77086e-05,0.009
0.28,1.75786e-05,0.009
0.29,1.79286e-05,0.0089
0.3,1.799e-05,0.0089
0.31,1.66786e-05,0.0093
0.32,1.47471e-05,0.0098
0.33,1.29771e-05,0.0105
0.34,1.23286e-05,0.0108
0.35,1.18314e-05,0.011
0.36,1.07871e-05,0.0115
0.37,1.01657e-05,0.0119
0.38,9.92571e-06,0.012
0.39,9.52714e-06,0.0122
0.4,9.32714e-06,0.0124
0.41,8.92429e-06,0.0127
0.42,8.55714e-06,0.0129
0.43,8.45286e-06,0.013
0.44,8.19429e-06,0.0132
0.45,8.08286e-06,0.0133
0.46,7.81286e-06,0.0135
0.47,7.74714e-06,0.0136
0.48,8.12143e-06,0.0133
0.49,9.65429e-06,0.0122
0.5,1.34229e-05,0.0103
0.51,1.70829e-05,0.0091
0.52,1.72543e-05,0.0091
0.53,1.364e-05,0.0102
0.54,9.29429e-06,0.0124
0.55,6.94571e-06,0.0143
0.56,6.05286e-06,0.0154
0.57,5.90571e-06,0.0156
0.58,5.68e-06,0.0159
0.59,5.38143e-06,0.0163
0.6,5.39857e-06,0.0163
0.61,5.15e-06,0.0167
0.62,5.25286e-06,0.0165
0.63,5.13429e-06,0.0167
0.64,5.16e-06,0.0166
0.65,4.90857e-06,0.0171
0.66,4.92143e-06,0.017
0.67,4.58429e-06,0.0177
0.68,4.63286e-06,0.0176
0.69,4.43429e-06,0.0179
0.7,4.47286e-06,0.0179
0.71,4.40714e-06,0.018
0.72,4.43286e-06,0.018
0.73,4.79286e-06,0.0173
0.74,5.57286e-06,0.016
0.75,6.50857e-06,0.0148
0.76,7.39714e-06,0.0139
