Energy_MeV,Tally_Value,Relative_Error,One_Sigma
5.0,6.86e-07,0.0382,2.6205199999999996e-08
5.01,6.81e-07,0.0383,2.60823e-08
5.02,6.55e-07,0.0391,2.56105e-08
5.03,6.88e-07,0.0381,2.6212800000000004e-08
5.04,6.81e-07,0.0383,2.60823e-08
5.05,7.41e-07,0.0367,2.7194700000000003e-08
5.06,7.6e-07,0.0363,2.7588e-08
5.07,8.4e-07,0.0345,2.8980000000000002e-08
5.08,9.27e-07,0.0328,3.04056e-08
5.09,1.091e-06,0.0303,3.30573e-08
5.1,1.22e-06,0.0286,3.4892e-08
5.11,1.36e-06,0.0271,3.6855999999999996e-08
5.12,1.295e-06,0.0278,3.6001e-08
5.13,1.242e-06,0.0284,3.52728e-08
5.14,1.138e-06,0.0296,3.36848e-08
5.15,1.101e-06,0.0301,3.3140099999999996e-08
5.16,1.071e-06,0.0306,3.2772599999999997e-08
5.17,9.29e-07,0.0328,3.0471200000000006e-08
5.18,9.65e-07,0.0322,3.1073e-08
5.19,9.02e-07,0.0333,3.0036600000000004e-08
5.2,8.31e-07,0.0347,2.88357e-08
5.21,8.52e-07,0.0343,2.9223599999999996e-08
5.22,8.25e-07,0.0348,2.871e-08
5.23,8.39e-07,0.0345,2.8945500000000003e-08
5.24,8.14e-07,0.035,2.8490000000000002e-08
5.25,9.03e-07,0.0333,3.0069900000000005e-08
5.26,8.6e-07,0.0341,2.9326e-08
5.27,8.62e-07,0.0341,2.9394199999999996e-08
5.28,8.78e-07,0.0337,2.95886e-08
5.29,8.11e-07,0.0351,2.84661e-08
5.3,7.95e-07,0.0355,2.8222499999999997e-08
5.31,7.96e-07,0.0354,2.81784e-08
5.32,8.07e-07,0.0352,2.84064e-08
5.33,7.5e-07,0.0365,2.7375e-08
5.34,7.53e-07,0.0364,2.7409200000000002e-08
5.35,8.17e-07,0.035,2.8595000000000002e-08
5.36,7.77e-07,0.0359,2.78943e-08
5.37,8.03e-07,0.0353,2.83459e-08
5.38,8.03e-07,0.0353,2.83459e-08
5.39,8.51e-07,0.0343,2.9189299999999997e-08
5.4,8.55e-07,0.0342,2.9241e-08
5.41,8.19e-07,0.0349,2.85831e-08
5.42,8.47e-07,0.0344,2.91368e-08
5.43,8.39e-07,0.0345,2.8945500000000003e-08
5.44,7.75e-07,0.0359,2.78225e-08
5.45,7.45e-07,0.0366,2.7267e-08
5.46,6.87e-07,0.0382,2.62434e-08
5.47,7.37e-07,0.0368,2.7121599999999998e-08
5.48,7.31e-07,0.037,2.7046999999999997e-08
5.49,7.55e-07,0.0364,2.7482e-08
5.5,6.56e-07,0.039,2.5584000000000003e-08
5.51,6.33e-07,0.0397,2.51301e-08
5.52,6.68e-07,0.0387,2.58516e-08
5.53,6.47e-07,0.0393,2.5427100000000002e-08
5.54,6.99e-07,0.0378,2.64222e-08
5.55,7.13e-07,0.0375,2.67375e-08
5.56,7.98e-07,0.0354,2.82492e-08
5.57,8.23e-07,0.0349,2.87227e-08
5.58,1.008e-06,0.0315,3.1752e-08
5.59,1.24e-06,0.0284,3.5216e-08
5.6,1.424e-06,0.0265,3.7736e-08
5.61,1.61e-06,0.0249,4.0088999999999996e-08
5.62,1.623e-06,0.0248,4.0250399999999995e-08
5.63,1.602e-06,0.025,4.0050000000000005e-08
5.64,1.623e-06,0.0248,4.0250399999999995e-08
5.65,1.516e-06,0.0257,3.89612e-08
5.66,1.251e-06,0.0283,3.54033e-08
5.67,1.178e-06,0.0291,3.42798e-08
5.68,9.64e-07,0.0322,3.10408e-08
5.69,8.54e-07,0.0342,2.92068e-08
5.7,8.04e-07,0.0353,2.83812e-08
5.71,7.53e-07,0.0364,2.7409200000000002e-08
5.72,7.35e-07,0.0369,2.71215e-08
5.73,7.13e-07,0.0375,2.67375e-08
5.74,7.04e-07,0.0377,2.6540799999999995e-08
5.75,7.27e-07,0.0371,2.69717e-08
5.76,6.85e-07,0.0382,2.6167e-08
5.77,7.12e-07,0.0375,2.67e-08
5.78,7.12e-07,0.0375,2.67e-08
5.79,7.49e-07,0.0365,2.73385e-08
5.8,6.91e-07,0.038,2.6258e-08
5.81,7.2e-07,0.0373,2.6856e-08
5.82,7.31e-07,0.037,2.7046999999999997e-08
5.83,7.14e-07,0.0374,2.67036e-08
5.84,7.5e-07,0.0365,2.7375e-08
5.85,7.24e-07,0.0372,2.6932799999999996e-08
5.86,7.12e-07,0.0375,2.67e-08
5.87,8.04e-07,0.0353,2.83812e-08
5.88,7.7e-07,0.036,2.772e-08
5.89,7.8e-07,0.0358,2.7924e-08
5.9,7.68e-07,0.0361,2.77248e-08
5.91,8.29e-07,0.0347,2.87663e-08
5.92,8.22e-07,0.0349,2.86878e-08
5.93,7.82e-07,0.0358,2.79956e-08
5.94,7.25e-07,0.0371,2.6897500000000003e-08
5.95,6.57e-07,0.039,2.5623e-08
