Energy_MeV,F8_Response,Relative_Error
0.0000,8.41566000E-04,0.0011
0.0100,7.00972000E-04,0.0012
0.0200,1.49051000E-04,0.0026
0.0300,1.61970000E-05,0.0079
0.0400,1.21910000E-05,0.0091
0.0500,1.30950000E-05,0.0087
0.0600,1.39040000E-05,0.0085
0.0700,1.53610000E-05,0.0081
0.0800,1.78620000E-05,0.0075
0.0900,2.07890000E-05,0.0069
0.1000,2.33750000E-05,0.0065
0.1100,2.55750000E-05,0.0063
0.1200,2.70610000E-05,0.0061
0.1300,2.72920000E-05,0.0061
0.1400,2.73370000E-05,0.006
0.1500,2.71640000E-05,0.0061
0.1600,2.77200000E-05,0.006
0.1700,2.77510000E-05,0.006
0.1800,2.69610000E-05,0.0061
0.1900,2.46660000E-05,0.0064
0.2000,2.32920000E-05,0.0066
0.2100,2.24550000E-05,0.0067
0.2200,2.16680000E-05,0.0068
0.2300,2.10070000E-05,0.0069
0.2400,2.07910000E-05,0.0069
0.2500,1.99840000E-05,0.0071
0.2600,1.98400000E-05,0.0071
0.2700,1.90960000E-05,0.0072
0.2800,1.87420000E-05,0.0073
0.2900,1.88420000E-05,0.0073
0.3000,1.85200000E-05,0.0073
0.3100,1.73800000E-05,0.0076
0.3200,1.56120000E-05,0.008
0.3300,1.40510000E-05,0.0084
0.3400,1.31150000E-05,0.0087
0.3500,1.26640000E-05,0.0089
0.3600,1.15340000E-05,0.0093
0.3700,1.09700000E-05,0.0095
0.3800,1.05560000E-05,0.0097
0.3900,1.01790000E-05,0.0099
0.4000,9.90400000E-06,0.01
0.4100,9.71000000E-06,0.0101
0.4200,9.18100000E-06,0.0104
0.4300,9.10900000E-06,0.0105
0.4400,8.66800000E-06,0.0107
0.4500,8.48100000E-06,0.0109
0.4600,8.37400000E-06,0.0109
0.4700,8.16800000E-06,0.0111
0.4800,8.67400000E-06,0.0107
0.4900,1.05560000E-05,0.0097
0.5000,1.41150000E-05,0.0084
0.5100,1.77890000E-05,0.0075
0.5200,1.80020000E-05,0.0075
0.5300,1.42070000E-05,0.0084
0.5400,9.82600000E-06,0.0101
0.5500,7.10300000E-06,0.0119
0.5600,6.18800000E-06,0.0127
0.5700,6.01300000E-06,0.0129
0.5800,5.77600000E-06,0.0132
0.5900,5.47900000E-06,0.0135
0.6000,5.37100000E-06,0.0136
0.6100,5.31400000E-06,0.0137
0.6200,5.30000000E-06,0.0137
0.6300,5.07400000E-06,0.014
0.6400,5.17200000E-06,0.0139
0.6500,5.05400000E-06,0.0141
0.6600,4.81000000E-06,0.0144
0.6700,4.79800000E-06,0.0144
0.6800,4.74000000E-06,0.0145
0.6900,4.56000000E-06,0.0148
0.7000,4.48200000E-06,0.0149
0.7100,4.42200000E-06,0.015
0.7200,4.52700000E-06,0.0149
0.7300,4.87600000E-06,0.0143
0.7400,5.40000000E-06,0.0136
0.7500,6.56100000E-06,0.0123
0.7600,7.37300000E-06,0.0116
0.7700,7.70000000E-06,0.0114
0.7800,7.12100000E-06,0.0119
0.7900,5.86000000E-06,0.0131
0.8000,5.04600000E-06,0.0141
0.8100,4.19900000E-06,0.0154
0.8200,4.20500000E-06,0.0154
0.8300,4.30000000E-06,0.0152
0.8400,4.56700000E-06,0.0148
0.8500,4.70300000E-06,0.0146
0.8600,4.55100000E-06,0.0148
0.8700,4.35100000E-06,0.0152
0.8800,4.26000000E-06,0.0153
0.8900,4.27900000E-06,0.0153
0.9000,4.07700000E-06,0.0157
0.9100,3.79000000E-06,0.0162
0.9200,3.49400000E-06,0.0169
0.9300,3.35800000E-06,0.0173
0.9400,3.33900000E-06,0.0173
0.9500,3.38700000E-06,0.0172
0.9600,3.35700000E-06,0.0173
0.9700,3.43700000E-06,0.0171
0.9800,3.58400000E-06,0.0167
0.9900,3.84100000E-06,0.0161
1.0000,4.47300000E-06,0.015
1.0100,4.91100000E-06,0.0143
1.0200,4.94500000E-06,0.0142
1.0300,4.66200000E-06,0.0146
1.0400,3.93600000E-06,0.0159
1.0500,3.29600000E-06,0.0174
1.0600,2.95300000E-06,0.0184
1.0700,2.76900000E-06,0.019
1.0800,2.94000000E-06,0.0184
1.0900,2.90700000E-06,0.0185
1.1000,3.04900000E-06,0.0181
1.1100,3.02700000E-06,0.0182
1.1200,3.08900000E-06,0.018
1.1300,3.16400000E-06,0.0178
1.1400,3.39600000E-06,0.0172
1.1500,3.54600000E-06,0.0168
1.1600,3.66800000E-06,0.0165
1.1700,3.57500000E-06,0.0167
1.1800,3.41300000E-06,0.0171
1.1900,3.30500000E-06,0.0174
1.2000,2.99900000E-06,0.0183
1.2100,2.90100000E-06,0.0186
1.2200,2.83300000E-06,0.0188
1.2300,2.83900000E-06,0.0188
1.2400,2.71000000E-06,0.0192
1.2500,2.82900000E-06,0.0188
1.2600,2.79100000E-06,0.0189
1.2700,2.64700000E-06,0.0194
1.2800,2.80000000E-06,0.0189
1.2900,2.88500000E-06,0.0186
1.3000,2.81100000E-06,0.0189
1.3100,2.81400000E-06,0.0189
1.3200,2.78800000E-06,0.0189
1.3300,2.86900000E-06,0.0187
