Energy_MeV,F8_Response,Relative_Error
0.0000,5.19990000E-04,0.002
0.0100,4.34034000E-04,0.0021
0.0200,9.20880000E-05,0.0047
0.0300,1.02180000E-05,0.014
0.0400,7.86400000E-06,0.0159
0.0500,8.14600000E-06,0.0157
0.0600,8.97000000E-06,0.0149
0.0700,9.77200000E-06,0.0143
0.0800,1.16340000E-05,0.0131
0.0900,1.33480000E-05,0.0122
0.1000,1.49920000E-05,0.0115
0.1100,1.63160000E-05,0.0111
0.1200,1.70060000E-05,0.0108
0.1300,1.75020000E-05,0.0107
0.1400,1.76620000E-05,0.0106
0.1500,1.73800000E-05,0.0107
0.1600,1.77720000E-05,0.0106
0.1700,1.75400000E-05,0.0107
0.1800,1.73620000E-05,0.0107
0.1900,1.59700000E-05,0.0112
0.2000,1.44120000E-05,0.0118
0.2100,1.42400000E-05,0.0119
0.2200,1.38920000E-05,0.012
0.2300,1.34640000E-05,0.0122
0.2400,1.30920000E-05,0.0124
0.2500,1.25260000E-05,0.0126
0.2600,1.23900000E-05,0.0127
0.2700,1.22520000E-05,0.0128
0.2800,1.23000000E-05,0.0128
0.2900,1.20940000E-05,0.0129
0.3000,1.19520000E-05,0.0129
0.3100,1.10740000E-05,0.0134
0.3200,1.00840000E-05,0.0141
0.3300,9.13000000E-06,0.0148
0.3400,8.46200000E-06,0.0154
0.3500,7.92200000E-06,0.0159
0.3600,7.51600000E-06,0.0163
0.3700,7.06400000E-06,0.0168
0.3800,6.88200000E-06,0.017
0.3900,6.44000000E-06,0.0176
0.4000,6.35000000E-06,0.0177
0.4100,6.10800000E-06,0.0181
0.4200,5.95800000E-06,0.0183
0.4300,5.83400000E-06,0.0185
0.4400,5.65600000E-06,0.0188
0.4500,5.39200000E-06,0.0193
0.4600,5.21400000E-06,0.0196
0.4700,5.05400000E-06,0.0199
0.4800,5.39200000E-06,0.0193
0.4900,6.78000000E-06,0.0172
0.5000,9.14200000E-06,0.0148
0.5100,1.16700000E-05,0.0131
0.5200,1.15700000E-05,0.0131
0.5300,9.10600000E-06,0.0148
0.5400,6.33200000E-06,0.0178
0.5500,4.60600000E-06,0.0208
0.5600,3.92800000E-06,0.0226
0.5700,3.69400000E-06,0.0233
0.5800,3.74600000E-06,0.0231
0.5900,3.51800000E-06,0.0238
0.6000,3.20400000E-06,0.025
0.6100,3.32800000E-06,0.0245
0.6200,3.37800000E-06,0.0243
0.6300,3.28000000E-06,0.0247
0.6400,3.32000000E-06,0.0245
0.6500,3.15200000E-06,0.0252
0.6600,3.09800000E-06,0.0254
0.6700,2.99400000E-06,0.0258
0.6800,3.16600000E-06,0.0251
0.6900,2.83000000E-06,0.0266
0.7000,2.84200000E-06,0.0265
0.7100,2.86800000E-06,0.0264
0.7200,2.77800000E-06,0.0268
0.7300,3.03200000E-06,0.0257
0.7400,3.35200000E-06,0.0244
0.7500,4.22000000E-06,0.0218
0.7600,4.65800000E-06,0.0207
0.7700,4.78200000E-06,0.0205
0.7800,4.60200000E-06,0.0208
0.7900,3.94800000E-06,0.0225
0.8000,3.12600000E-06,0.0253
0.8100,2.67000000E-06,0.0274
0.8200,2.66400000E-06,0.0274
0.8300,2.76800000E-06,0.0269
0.8400,3.07000000E-06,0.0255
0.8500,3.14400000E-06,0.0252
0.8600,3.01600000E-06,0.0258
0.8700,2.70800000E-06,0.0272
0.8800,2.71400000E-06,0.0271
0.8900,2.68200000E-06,0.0273
0.9000,2.49200000E-06,0.0283
0.9100,2.35600000E-06,0.0291
0.9200,2.27800000E-06,0.0296
0.9300,2.11400000E-06,0.0308
0.9400,2.03600000E-06,0.0313
0.9500,2.17400000E-06,0.0303
0.9600,1.99000000E-06,0.0317
0.9700,2.22800000E-06,0.03
0.9800,2.36200000E-06,0.0291
0.9900,2.51200000E-06,0.0282
1.0000,2.84600000E-06,0.0265
1.0100,3.23600000E-06,0.0249
1.0200,3.22400000E-06,0.0249
1.0300,3.02200000E-06,0.0257
1.0400,2.59800000E-06,0.0277
1.0500,2.14800000E-06,0.0305
1.0600,1.76000000E-06,0.0337
1.0700,1.75600000E-06,0.0337
1.0800,1.84200000E-06,0.033
1.0900,1.79200000E-06,0.0334
1.1000,1.78800000E-06,0.0334
1.1100,1.94400000E-06,0.0321
1.1200,1.96200000E-06,0.0319
1.1300,2.05800000E-06,0.0312
1.1400,2.08000000E-06,0.031
1.1500,2.18800000E-06,0.0302
1.1600,2.40000000E-06,0.0289
1.1700,2.26200000E-06,0.0297
1.1800,2.20600000E-06,0.0301
1.1900,2.02200000E-06,0.0315
1.2000,1.99200000E-06,0.0317
1.2100,1.83800000E-06,0.033
1.2200,1.79200000E-06,0.0334
1.2300,1.75800000E-06,0.0337
1.2400,1.65400000E-06,0.0348
1.2500,1.78200000E-06,0.0335
1.2600,1.74400000E-06,0.0339
1.2700,1.67600000E-06,0.0345
1.2800,1.78400000E-06,0.0335
1.2900,1.81600000E-06,0.0332
1.3000,1.82400000E-06,0.0331
1.3100,1.84200000E-06,0.033
1.3200,1.81400000E-06,0.0332
1.3300,1.76400000E-06,0.0337
1.3400,1.86000000E-06,0.0328
1.3500,1.99600000E-06,0.0317
1.3600,1.97800000E-06,0.0318
1.3700,2.04600000E-06,0.0313
1.3800,2.08000000E-06,0.031
1.3900,1.99800000E-06,0.0316
1.4000,1.89200000E-06,0.0325
1.4100,1.84800000E-06,0.0329
1.4200,1.83400000E-06,0.033
1.4300,1.72400000E-06,0.0341
1.4400,1.67600000E-06,0.0345
1.4500,1.71600000E-06,0.0341
1.4600,1.58200000E-06,0.0356
1.4700,1.68000000E-06,0.0345
1.4800,1.64800000E-06,0.0348
1.4900,1.67800000E-06,0.0345
1.5000,1.67800000E-06,0.0345
1.5100,1.60400000E-06,0.0353
1.5200,1.60600000E-06,0.0353
1.5300,1.65800000E-06,0.0347
1.5400,1.62200000E-06,0.0351
1.5500,1.72000000E-06,0.0341
1.5600,1.75200000E-06,0.0338
1.5700,1.73600000E-06,0.0339
1.5800,1.81000000E-06,0.0332
1.5900,1.93200000E-06,0.0322
1.6000,2.11600000E-06,0.0307
1.6100,2.25800000E-06,0.0298
1.6200,2.23400000E-06,0.0299
1.6300,2.12400000E-06,0.0307
1.6400,2.08200000E-06,0.031
1.6500,1.80600000E-06,0.0333
1.6600,1.65600000E-06,0.0348
1.6700,1.73800000E-06,0.0339
1.6800,1.76600000E-06,0.0337
1.6900,1.69800000E-06,0.0343
1.7000,1.84400000E-06,0.0329
1.7100,2.01400000E-06,0.0315
1.7200,1.89000000E-06,0.0325
1.7300,1.86800000E-06,0.0327
1.7400,1.78400000E-06,0.0335
1.7500,1.65000000E-06,0.0348
