Energy_MeV,F8_Response,Relative_Error
0.0000,8.97412000E-04,0.0015
0.0100,7.47810000E-04,0.0016
0.0200,1.58480000E-04,0.0036
0.0300,1.65660000E-05,0.011
0.0400,1.26120000E-05,0.0126
0.0500,1.31900000E-05,0.0123
0.0600,1.40880000E-05,0.0119
0.0700,1.49800000E-05,0.0116
0.0800,1.72040000E-05,0.0108
0.0900,1.99500000E-05,0.01
0.1000,2.24540000E-05,0.0094
0.1100,2.42300000E-05,0.0091
0.1200,2.59400000E-05,0.0088
0.1300,2.61700000E-05,0.0087
0.1400,2.64460000E-05,0.0087
0.1500,2.57820000E-05,0.0088
0.1600,2.66260000E-05,0.0087
0.1700,2.66940000E-05,0.0087
0.1800,2.59160000E-05,0.0088
0.1900,2.42820000E-05,0.0091
0.2000,2.26380000E-05,0.0094
0.2100,2.16540000E-05,0.0096
0.2200,2.09740000E-05,0.0098
0.2300,2.10720000E-05,0.0097
0.2400,2.04960000E-05,0.0099
0.2500,1.97480000E-05,0.0101
0.2600,1.91840000E-05,0.0102
0.2700,1.93620000E-05,0.0102
0.2800,1.89340000E-05,0.0103
0.2900,1.91780000E-05,0.0102
0.3000,1.86540000E-05,0.0104
0.3100,1.75720000E-05,0.0107
0.3200,1.55540000E-05,0.0113
0.3300,1.37080000E-05,0.0121
0.3400,1.30000000E-05,0.0124
0.3500,1.22760000E-05,0.0128
0.3600,1.15460000E-05,0.0132
0.3700,1.08300000E-05,0.0136
0.3800,1.03180000E-05,0.0139
0.3900,1.01520000E-05,0.014
0.4000,9.94000000E-06,0.0142
0.4100,9.48400000E-06,0.0145
0.4200,9.09400000E-06,0.0148
0.4300,9.02800000E-06,0.0149
0.4400,8.41400000E-06,0.0154
0.4500,8.24400000E-06,0.0156
0.4600,8.04400000E-06,0.0158
0.4700,8.18000000E-06,0.0156
0.4800,8.65800000E-06,0.0152
0.4900,1.03900000E-05,0.0139
0.5000,1.44040000E-05,0.0118
0.5100,1.81680000E-05,0.0105
0.5200,1.83600000E-05,0.0104
0.5300,1.43740000E-05,0.0118
0.5400,9.92000000E-06,0.0142
0.5500,7.41200000E-06,0.0164
0.5600,6.35800000E-06,0.0177
0.5700,5.82000000E-06,0.0185
0.5800,5.91200000E-06,0.0184
