T_cm,H_cm,Left_5.95_6.02,ROI_6.03_6.23,Right_6.24_6.31
4,20,4.27400000E-06,1.80360000E-05,3.39600000E-06
4,25,4.39400000E-06,1.88200000E-05,3.52800000E-06
4,30,4.54400000E-06,1.92120000E-05,3.59600000E-06
4,35,4.56800000E-06,1.94540000E-05,3.63000000E-06
4,40,4.60000000E-06,1.96220000E-05,3.64400000E-06
4,45,4.64600000E-06,1.97100000E-05,3.64400000E-06
4,50,4.64800000E-06,1.97520000E-05,3.66600000E-06
5,20,4.07200000E-06,1.75640000E-05,3.28000000E-06
5,25,4.27000000E-06,1.83600000E-05,3.40400000E-06
5,30,4.32800000E-06,1.88060000E-05,3.48000000E-06
5,35,4.42600000E-06,1.91160000E-05,3.50600000E-06
5,40,4.48200000E-06,1.92600000E-05,3.48600000E-06
5,45,4.50000000E-06,1.93580000E-05,3.49800000E-06
5,50,4.48600000E-06,1.94380000E-05,3.52400000E-06
