"category","case_name","original_path","new_path","bytes","sha256","input_echo","nps"
"Thickness","T01_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T01_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T01_H25_D01.outp","94941","697EE560C05408D00FA1F30CAF58F04389CD5E7B9A81AEC9B4BBDEE94670F169","T01_H25_D01.i","500000000"
"Thickness","T02_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T02_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T02_H25_D01.outp","94941","869C3AA87D4BD78EA97A5AE5A364238EA4C715F2B57B410F0656BB9E0B8C858C","T02_H25_D01.i","500000000"
"Thickness","T03_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T03_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T03_H25_D01.outp","94941","37DDEF048D1880AE5103506649B4DB372D878FF573C278BD303E1386769EC447","T03_H25_D01.i","500000000"
"Thickness","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T04_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T04_H25_D01.outp","94941","4012E6FF1660332F2D198B800D8D70FBF19439C722E45432EDAB724BB5F206B2","T04_H25_D01.i","500000000"
"Thickness","T05_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T05_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T05_H25_D01.outp","94941","459375FC730074C91C1132AF69FAD9858F3611321059086EDAA38689027CC69C","T05_H25_D01.i","500000000"
"Thickness","T06_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T06_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T06_H25_D01.outp","94941","2CA0B07DDC46D18C231D93DAD02D169E2A17D48FF94817B0A34100638CFCA3EB","T06_H25_D01.i","500000000"
"Thickness","T07_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T07_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T07_H25_D01.outp","94941","45C5425A1F155EA4C80BBF250197970598C661F15C4C1000BAFBCD2AF584CD09","T07_H25_D01.i","500000000"
"Thickness","T08_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T08_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T08_H25_D01.outp","94941","E15849A6E4282D1D25CD5809C0FE0A4397A064902AA782862AB1D842DD2853CC","T08_H25_D01.i","500000000"
"Thickness","T09_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T09_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T09_H25_D01.outp","94775","A8B5D5C5F9DFC959C49D6526E6F3C20667A0CDE4A864605218BA2F279F966F0F","T09_H25_D01.i","500000000"
"Thickness","T10_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\厚度优化\T10_H25_D01\结果输出\outp","F:\东华理工大学研究生\MCNP\DT_yield_project\results\01_Thickness_T\outputs\T10_H25_D01.outp","94941","2C84092EF35FD6745B83067C0CDE15FD8F9B8A6BC5B585F5B92FFA1261E39385","T10_H25_D01.i","500000000"
