"category","case_name","original_path","public_output_path","original_sha256","public_sha256","sanitized","matched_input","NPS","notes"
"Baseline","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\H2O\data\outp","02_D50H75新探测器/基准模型/T04_H25_D01/结果输出/D5075_NPS5E8_public.outp","394B3F553C7B932440476179C906CC834CE09E25025AB1CA081EA7E761262BCF","4AA33E4C4A672B524E216A5D7A7B4DEC050348CDA237A642CCFD6991FC69CB1E","yes","no","500000000","Input echo: D5075.i. Input intentionally removed by user; identity confirmed from output echo/title/geometry/NPS/F8/E8/GEB."
"DetectorComparison","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\H2O\outp","02_D50H75新探测器/探测器对比/D50H75_AnalogCheck/结果输出/A5075_NPS1E8_public.outp","0A2A8ACE784D589A6C5337F3E5344BA26C8E74C7472B86EFCB76041D5AD9A756","A2A42FCDA7C7AE3865C7331BA0B24086A26A6D9AD6E5BA3F3E17820AF1EE2F95","yes","no","100000000","Input echo: A5075.i. Input intentionally removed by user. Output title says 5E7, while actual NPS is 1E8; identity confirmed from echo and geometry."
"Distance","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D01\结果输出\outp","01_旧探测器模拟总数据/距离优化/T04_H25_D01/结果输出/T04_H25_D01_public.outp","A43BF68D078CB6CF91B86DB4A46C83C5F025F5EB16286DE28DBAC6C9E7BC29A8","2A2E669D697C2B9C7D565C1D636060F2757222BF7AE76010D90D7994D02013EA","yes","yes","500000000","Input echo: T04_H25_D01.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T04_H25_D02","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D02\结果输出\outp","01_旧探测器模拟总数据/距离优化/T04_H25_D02/结果输出/T04_H25_D02_public.outp","4C655EC4F72758785E070A4809778D106DF431B4D5C434928578B9477586D4D9","804F5ED1F540B237AD681802E2B535A1EB3BDE7208634EEDB733F0DF6CF2BC08","yes","yes","500000000","Input echo: T04_H25_D02.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T04_H25_D03","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D03\结果输出\outp","01_旧探测器模拟总数据/距离优化/T04_H25_D03/结果输出/T04_H25_D03_public.outp","26238670CC3FE9C1F2A75C516A60639C4A208CC4B1E01D85C2EADB031E9AB068","2795D5905D38A3BCD3A7301595F5CA2F6FD5C12B2B6A553453AF4F31A6009F00","yes","yes","500000000","Input echo: T04_H25_D03.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T04_H25_D04","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T04_H25\T04_H25_D04\结果输出\outp","01_旧探测器模拟总数据/距离优化/T04_H25_D04/结果输出/T04_H25_D04_public.outp","748EE0B1CE0F301AAB615F65A3666E655E6D018FC9DCE3B4437B287218172EB2","AE3B8ED4BE2C6750E8F82E935B397EC05F5A7A788AE639A152F2B6FE2D12C65D","yes","yes","500000000","Input echo: T04_H25_D04.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T05_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D01\结果输出\outp","01_旧探测器模拟总数据/距离优化/T05_H25_D01/结果输出/T05_H25_D01_public.outp","7C9413704F277256CEADE197E284F467CD43FC9E37D63EDB3ACBAD29F2C3138C","B76197E9321C8611F029B7C1B340279C4119674772DB2541F3A547463AA416C8","yes","yes","500000000","Input echo: T05_H25_D01.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T05_H25_D02","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D02\结果输出\outp","01_旧探测器模拟总数据/距离优化/T05_H25_D02/结果输出/T05_H25_D02_public.outp","9B01682E0EB3C4895E681CA93435ED02261B5F6D266AFFA74D8CFDCDA5025019","01446DB5585F2A00B45201EFA2535A95E8BA90F24AF81587C433DD5C1F5A801B","yes","yes","500000000","Input echo: T05_H25_D02.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T05_H25_D03","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D03\结果输出\outp","01_旧探测器模拟总数据/距离优化/T05_H25_D03/结果输出/T05_H25_D03_public.outp","E59C7A48925A7177F1847EAF15953AC64318617B34955ACC9EE7D871F63ECBCE","503F51BE690B9464E3EA6627CCB64F733A0D6BB89B7200B8B4C28A4149B3618D","yes","yes","500000000","Input echo: T05_H25_D03.i. Gross ROI historical scan; public output differs only by redacted account path."
"Distance","T05_H25_D04","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\距离优化\T05_H25\T05_H25_D04\结果输出\outp","01_旧探测器模拟总数据/距离优化/T05_H25_D04/结果输出/T05_H25_D04_public.outp","D24E132A35DE536110107B72CBBEAC6977973529CE079BFEBF4A7DFECF31B31B","EE748ED8B3DA85DCDD172E4A32C1D398E861B6B49DF9CDF0886FDECE112F573E","yes","yes","500000000","Input echo: T05_H25_D04.i. Gross ROI historical scan; public output differs only by redacted account path."
"FinalCount","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_1E8\Point\output\outp","01_旧探测器模拟总数据/最终计数/T04_H25_D01/NPS1E8/Point/结果输出/T04_H25_D01_NPS1E8_Point_public.outp","0BBC7D1122AFEB3D56B96558856DB7C235642C8295024393A83DFA1C29EAF954","CA9E8165D904A4F0E24C0622F608BDE853EE74795C8204DB7348E8845A38704A","yes","yes","100000000","Input echo: Point_1E8.i. NPS convergence/final-count case; public output differs only by redacted account path."
"FinalCount","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_1E8\Disk_D10\output\outp","01_旧探测器模拟总数据/最终计数/T04_H25_D01/NPS1E8/Disk_D10/结果输出/T04_H25_D01_NPS1E8_Disk_D10_public.outp","D72775B0B57B722AB34FE869F04AC7F632CA72878552520F8AD75BB66B1305BD","401FCA428DF7886E1F824B4141E5DE4B6D3C97EC6183CE2F374954E140124173","yes","yes","100000000","Input echo: Disk_D10_1E8.i. NPS convergence/final-count case; public output differs only by redacted account path. Output title says 5E8, while input echo and actual NPS are 1E8."
"FinalCount","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_3E8\Disk_D10\output\outp","01_旧探测器模拟总数据/最终计数/T04_H25_D01/NPS3E8/Disk_D10/结果输出/T04_H25_D01_NPS3E8_Disk_D10_public.outp","F94764FA5BDDF64EE1C1C98F341B171943151D1BB526D0633936B591355FF8F8","2ECB7CFFBBA584A802CF7EBFB2E92C93AFC1A42D67908A1848C9CC253A703060","yes","yes","300000000","Input echo: Disk_D10_3E8.i. NPS convergence/final-count case; public output differs only by redacted account path."
"FinalCount","T04_H25_D01","F:\东华理工大学研究生\MCNP\mcnp5\模拟总数据\最终计数\T04_H25_D01\CaO_SourceCompare_3E8\Point\output\outp","01_旧探测器模拟总数据/最终计数/T04_H25_D01/NPS3E8/Point/结果输出/T04_H25_D01_NPS3E8_Point_public.outp","B6C0B210479C221BBE7E2A93E032C2EF890CD2C8F3278918176D012A98413D08","B2A5CACC78D452A56B9ADD0F5B636F86F827BC8757B73BF2232DDCD51E719AE9","yes","yes","300000000","Input echo: Point_3E8.i. NPS convergence/final-count case; public output differs only by redacted account path."
